Unidade,Campus,Prédio,Bloco,Andar,Sala,Capacidade,Equipamento,Quantidade
Niterói,Praia Vermelha,Escola de Engenharia,D,3,331,60,,
Niterói,Praia Vermelha,Escola de Engenharia,D,3,333,40,,
Niterói,Praia Vermelha,Escola de Engenharia,D,3,334,30,,
Niterói,Praia Vermelha,Escola de Engenharia,D,3,336,30,,
Niterói,Praia Vermelha,Escola de Engenharia,D,3,338,50,,
Niterói,Praia Vermelha,Escola de Engenharia,D,2,231,60,,
Niterói,Praia Vermelha,Escola de Engenharia,D,2,232,45,,
Niterói,Praia Vermelha,Escola de Engenharia,D,2,233,50,,
Niterói,Praia Vermelha,Escola de Engenharia,D,2,234,60,,
Niterói,Praia Vermelha,Escola de Engenharia,D,2,235,30,,
Niterói,Praia Vermelha,Escola de Engenharia,D,2,240,20,,
Niterói,Praia Vermelha,Escola de Engenharia,D,4,435,30,,
Niterói,Praia Vermelha,Escola de Engenharia,D,4,438,20,,
Niterói,Praia Vermelha,Escola de Engenharia,D,4,432,30,,
Niterói,Praia Vermelha,Escola de Engenharia,D,4,433,20,,
Niterói,Praia Vermelha,Escola de Engenharia,E,4,410,20,computador,10
Niterói,Praia Vermelha,Escola de Engenharia,E,4,430,30,computador,20
Niterói,Praia Vermelha,Escola de Engenharia,E,3,350,30,computador,20
Niterói,Praia Vermelha,Computação,Lab,3,334,40,computador,30
Niterói,Praia Vermelha,Computação,Lab,3,336,40,computador,30
Niterói,Praia Vermelha,Computação,Lab,3,337,20,computador,20
Niterói,Praia Vermelha,Computação,Lab,3,338,30,computador,20
Niterói,Praia Vermelha,Escola de Engenharia,D,2,230,40,mesa de desenho,30
Niterói,Praia Vermelha,Escola de Engenharia,D,2,236,40,mesa de desenho,30
Niterói,Praia Vermelha,Escola de Engenharia,D,2,238,40,mesa de desenho,20
Niterói,Praia Vermelha,Escola de Engenharia,E,4,430,30,computador,20
Niterói,Praia Vermelha,Escola de Engenharia,E,3,310,20,eletrônica,20
Niterói,Praia Vermelha,Escola de Engenharia,E,3,312,20,eletrônica,10
Niterói,Praia Vermelha,Física,A,3,312,20,equipamentos de física mecânica,5
Niterói,Praia Vermelha,Física,A,3,314,20,equipamentos de física mecânica,10
Niterói,Praia Vermelha,Física,A,3,316,30,equipamentos de física mecânica,20
Niterói,Praia Vermelha,UFASA,H,2,201,50,,
Niterói,Praia Vermelha,UFASA,H,2,202,50,,
Niterói,Praia Vermelha,UFASA,H,3,301,50,,
Niterói,Praia Vermelha,UFASA,H,3,302,40,,
Niterói,Praia Vermelha,UFASA,H,3,303,40,,
Niterói,Gragoatá,UFASA,A,4,402,40,,
Niterói,Gragoatá,UFASA,A,4,401,40,,
Niterói,Gragoatá,UFASA,A,3,302,50,,